onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 39.973	START	0	0	 0.000
 39.973	 9.992	T2	0	0	 0.000
 49.965	 1.712	JITTER3	0	0	 0.000
 51.677	 4.007	ISI4	0	0	 0.000
 55.684	 9.993	P1	0	0	 0.000
 65.677	 1.291	JITTER2	0	0	 0.000
 66.968	 3.003	ISI1	0	0	 0.000
 69.971	 9.994	T1	0	0	 0.000
 79.965	 1.290	JITTER2	0	0	 0.000
 81.255	 3.338	ISI2	0	0	 0.000
 84.593	 9.994	P2	0	0	 0.000
 94.587	 1.692	JITTER3	0	0	 0.000
 96.279	 3.003	ISI1	0	0	 0.000
 99.282	 9.993	P2	0	0	 0.000
 109.275	 1.960	JITTER4	0	0	 0.000
 111.235	 3.337	ISI2	0	0	 0.000
 114.572	 9.993	P1	0	0	 0.000
 124.565	 1.980	JITTER4	0	0	 0.000
 126.545	 3.673	ISI3	0	0	 0.000
 130.218	 9.992	T1	0	0	 0.000
 140.210	 1.291	JITTER2	0	0	 0.000
 141.501	 3.673	ISI3	0	0	 0.000
 145.174	 9.992	P1	0	0	 0.000
 155.166	 1.713	JITTER3	0	0	 0.000
 156.879	 4.006	ISI4	0	0	 0.000
 160.885	 9.993	T2	0	0	 0.000
 170.878	 1.024	JITTER1	0	0	 0.000
 171.902	 3.337	ISI2	0	0	 0.000
 175.239	 9.994	P2	0	0	 0.000
 185.233	 1.959	JITTER4	0	0	 0.000
 187.192	 3.672	ISI3	0	0	 0.000
 190.864	 10.014	T1	0	0	 0.000
 200.878	 1.291	JITTER2	0	0	 0.000
 202.169	 4.006	ISI4	0	0	 0.000
 206.175	 9.993	T2	0	0	 0.000
 216.168	 1.024	JITTER1	0	0	 0.000
 217.192	 3.672	ISI3	0	0	 0.000
 220.864	 9.992	P1	0	0	 0.000
 230.856	 1.713	JITTER3	0	0	 0.000
 232.569	 3.672	ISI3	0	0	 0.000
 236.241	 9.993	P2	0	0	 0.000
 246.234	 1.023	JITTER1	0	0	 0.000
 247.257	 2.984	ISI1	0	0	 0.000
 250.241	 9.992	T1	0	0	 0.000
 260.233	 1.980	JITTER4	0	0	 0.000
 262.213	 4.007	ISI4	0	0	 0.000
 266.220	 9.993	P1	0	0	 0.000
 276.213	 1.023	JITTER1	0	0	 0.000
 277.236	 2.983	ISI1	0	0	 0.000
 280.219	 10.014	T2	0	0	 0.000
 290.233	 1.291	JITTER2	0	0	 0.000
 291.524	 3.317	ISI2	0	0	 0.000
 294.841	 10.014	P2	0	0	 0.000
 304.855	 1.003	JITTER1	0	0	 0.000
 305.858	 4.026	ISI4	0	0	 0.000
 309.884	 9.994	T2	0	0	 0.000
 319.878	 1.692	JITTER3	0	0	 0.000
 321.570	 3.003	ISI1	0	0	 0.000
 324.573	 9.993	T1	0	0	 0.000
 334.566	 1.960	JITTER4	0	0	 0.000
 336.526	 3.338	ISI2	0	0	 0.000
 339.864	 2.992	END	0	0	 0.000
